Lon       Lat      Dep  Vel  Mag      Fast
99.000000 24.000000 65 4.285 0.003414 -31.359752
99.000000 24.000000 70 4.199 0.009419 -29.610151
99.000000 24.000000 80 4.150 0.010801 -27.756213
99.000000 24.000000 90 4.218 0.010544 -25.613959
99.000000 24.000000 100 4.278 0.009616 -22.766137
99.000000 24.000000 110 4.328 0.008471 -19.177406
99.000000 24.000000 120 4.369 0.007379 -14.982643
99.000000 24.000000 130 4.402 0.006458 -10.472233
99.000000 24.000000 140 4.428 0.005717 -6.014716
99.000000 24.000000 150 4.447 0.005114 -1.925309
99.000000 24.500000 0 3.101 0.009329 -6.690294
99.000000 24.500000 5 3.078 0.008677 -7.360858
99.000000 24.500000 10 3.367 0.011280 -2.181324
99.000000 24.500000 15 3.474 0.008867 -2.252623
99.000000 24.500000 20 3.500 0.003828 -9.740932
99.000000 24.500000 25 3.522 0.001779 -56.413964
99.000000 24.500000 30 3.591 0.003063 -75.124150
99.000000 24.500000 35 3.723 0.002862 -78.796333
99.000000 24.500000 40 4.166 0.001864 -81.169578
99.000000 24.500000 45 4.270 0.000675 -66.700344
99.000000 24.500000 50 4.252 0.001347 -23.135313
99.000000 24.500000 55 4.244 0.002685 -20.727239
99.000000 24.500000 60 4.244 0.003793 -22.677450
99.000000 24.500000 65 4.252 0.004775 -25.690015
99.000000 24.500000 70 4.153 0.011518 -29.982724
99.000000 24.500000 80 4.103 0.012112 -34.302991
99.000000 24.500000 90 4.195 0.011244 -37.530644
99.000000 24.500000 100 4.278 0.009764 -39.879428
99.000000 24.500000 110 4.347 0.007984 -41.452581
99.000000 24.500000 120 4.400 0.006147 -42.324177
99.000000 24.500000 130 4.439 0.004432 -42.469693
99.000000 24.500000 140 4.467 0.002950 -41.653580
99.000000 24.500000 150 4.486 0.001757 -39.055372
99.000000 25.000000 0 3.105 0.014392 -12.525306
99.000000 25.000000 5 3.074 0.013342 -15.045500
99.000000 25.000000 10 3.330 0.015910 -10.952007
99.000000 25.000000 15 3.449 0.010943 -10.430033
99.000000 25.000000 20 3.510 0.003989 -17.457464
99.000000 25.000000 25 3.531 0.002002 -68.803911
99.000000 25.000000 30 3.565 0.003250 -82.705146
99.000000 25.000000 35 3.634 0.002800 -85.356372
99.000000 25.000000 40 3.748 0.001695 -86.544180
99.000000 25.000000 45 4.202 0.000610 85.937608
99.000000 25.000000 50 4.316 0.000219 -1.061866
99.000000 25.000000 55 4.310 0.000857 -24.547196
99.000000 25.000000 60 4.306 0.001680 -36.831224
99.000000 25.000000 65 4.305 0.002858 -44.449747
99.000000 25.000000 70 4.213 0.009514 -50.075081
99.000000 25.000000 80 4.150 0.012895 -53.278939
99.000000 25.000000 90 4.209 0.014085 -54.958418
99.000000 25.000000 100 4.271 0.013755 -56.121315
99.000000 25.000000 110 4.329 0.012403 -57.131233
99.000000 25.000000 120 4.378 0.010510 -58.183278
99.000000 25.000000 130 4.418 0.008453 -59.416395
99.000000 25.000000 140 4.448 0.006488 -60.969937
99.000000 25.000000 150 4.470 0.004762 -63.032238
99.000000 25.500000 0 3.126 0.018321 -8.575591
99.000000 25.500000 5 3.105 0.012475 -13.910638
99.000000 25.500000 10 3.326 0.013130 -7.227140
99.000000 25.500000 15 3.425 0.010083 0.014321
99.000000 25.500000 20 3.506 0.006465 7.237214
99.000000 25.500000 25 3.556 0.003943 9.905751
99.000000 25.500000 30 3.606 0.002511 -1.363887
99.000000 25.500000 35 3.672 0.002835 -21.954927
99.000000 25.500000 40 3.744 0.004112 -32.174996
99.000000 25.500000 45 3.831 0.004498 -36.482725
99.000000 25.500000 50 4.263 0.004679 -39.056211
99.000000 25.500000 55 4.362 0.005586 -42.342712
99.000000 25.500000 60 4.342 0.006460 -46.039365
99.000000 25.500000 65 4.324 0.007218 -49.881635
99.000000 25.500000 70 4.216 0.015721 -55.248891
99.000000 25.500000 80 4.129 0.015571 -61.214555
99.000000 25.500000 90 4.181 0.014207 -66.565890
